u,v,osmid,highway,length,geometry
11393695758,13513813140,308848875,residential,36.227605521789044,"LINESTRING (106.700575 10.7861099, 106.7008135 10.7858835)"
11393695758,6110770486,308848875,residential,101.49800212288213,"LINESTRING (106.700575 10.7861099, 106.6999068 10.7867442)"
11393695758,2037831446,1228588481,service,56.178779132603886,"LINESTRING (106.700575 10.7861099, 106.7002211 10.7857433)"
5762711598,4600569893,1173914714,tertiary,47.953804847901154,"LINESTRING (106.6871076 10.7684571, 106.6874113 10.7687685)"
5762711598,4605034952,1173914714,tertiary,15.6140069992584,"LINESTRING (106.6871076 10.7684571, 106.687054 10.7684079, 106.687003 10.7683614)"
3506700347,2527488815,723841572,primary,27.62414740002975,"LINESTRING (106.6943304 10.7699546, 106.6942694 10.7700528, 106.6941984 10.7701665)"
3506700347,6789385215,1019637994,secondary_link,37.06622183991965,"LINESTRING (106.6943304 10.7699546, 106.6943225 10.7700696, 106.6943371 10.7701077, 106.6943638 10.7701481, 106.6944283 10.7702607)"
11187257673,11187257674,1207355838,service,23.844563722978044,"LINESTRING (106.687786 10.7725775, 106.6879596 10.7727075)"
11187257673,411922637,1349747421,service,46.767713989104266,"LINESTRING (106.687786 10.7725775, 106.6881052 10.7722972)"
11187257673,411922631,1349747422,service,18.7711461437689,"LINESTRING (106.687786 10.7725775, 106.687656 10.7726879)"
11187257674,11187257673,1207355838,service,23.844563722978044,"LINESTRING (106.6879596 10.7727075, 106.687786 10.7725775)"
13513813126,2230261059,213297559,service,6.045840235022934,"LINESTRING (106.6981411 10.7860935, 106.6981035 10.7860536)"
13513813126,9348403930,213297559,service,55.946143932368464,"LINESTRING (106.6981411 10.7860935, 106.6982163 10.7861731, 106.697929 10.7864488)"
13513813127,2230261055,213297558,service,64.10549795149846,"LINESTRING (106.6980631 10.7867895, 106.6984675 10.7863717)"
13513813127,2230261057,213297558,service,6.198485423041721,"LINESTRING (106.6980631 10.7867895, 106.698024 10.7868299)"
13513813128,10272861713,1123291852,service,6.096928583754237,"LINESTRING (106.6983114 10.7859367, 106.6982729 10.785897)"
13513813128,10272861716,1123291852,service,74.32577932340088,"LINESTRING (106.6983114 10.7859367, 106.6986461 10.7862812, 106.6987135 10.7863951, 106.6987526 10.7864418)"
13513813129,7931629410,850165527,service,5.39443686052481,"LINESTRING (106.6982885 10.7870312, 106.6982523 10.7870642)"
13513813129,7931629411,850165527,service,67.28947292807428,"LINESTRING (106.6982885 10.7870312, 106.6987399 10.7866194)"
13513813130,10732153324,1153962875,service,5.543394775325116,"LINESTRING (106.6983718 10.7858811, 106.6983368 10.785845)"
13513813131,13513813130,1153962875,service,46.14521945956833,"LINESTRING (106.6984773 10.785784, 106.6985425 10.7858511, 106.6985714 10.7859128, 106.6985018 10.7859753, 106.6984344 10.7859456, 106.6983718 10.7858811)"
13513813138,10810816113,35114092,service,8.612416145969092,"LINESTRING (106.7001277 10.7851592, 106.7001851 10.7851061)"
13513813138,7839230994,35114092,service,62.59303278538935,"LINESTRING (106.7001277 10.7851592, 106.6997108 10.7855454)"
8359904042,12157150907,193256696,primary,114.23216699990145,"LINESTRING (106.6923417 10.7767211, 106.6930424 10.7774837)"
8359904042,5763168797,193256696,primary,43.69350887515742,"LINESTRING (106.6923417 10.7767211, 106.6920709 10.7764319)"
8359904042,5778360132,899763362,service,58.664037423663004,"LINESTRING (106.6923417 10.7767211, 106.6922176 10.7768325, 106.6919406 10.7770719)"
2859467584,5059499680,518720205,service,16.427806387888424,"LINESTRING (106.6768074 10.7748932, 106.6769288 10.7749804)"
10046800715,5778164496,1097215589,primary,5.282383664247512,"LINESTRING (106.6771159 10.7802412, 106.6770737 10.7802644)"
10046800715,5778164526,225192895,primary,26.516950466142575,"LINESTRING (106.6771159 10.7802412, 106.6771286 10.7802125, 106.677319 10.7801234)"
10046800715,5059499547,263444599,service,117.08264680133706,"LINESTRING (106.6771159 10.7802412, 106.6769566 10.7799602, 106.6768225 10.7796823, 106.6766283 10.7793039)"
2332689270,411919171,35114965,tertiary,5.363668202595287,"LINESTRING (106.6749548 10.7860097, 106.6749919 10.7859781)"
2332689270,11897986062,1282089465,tertiary,7.198254303336116,"LINESTRING (106.6749548 10.7860097, 106.6749981 10.7860585)"
2332689271,411919112,696793705,tertiary,74.44328442303348,"LINESTRING (106.6752766 10.7863913, 106.6752347 10.7864277, 106.6748884 10.7867319, 106.6747616 10.7868294)"
13468959702,2231361192,1435478999,service,36.632648446085945,"LINESTRING (106.6866833 10.7920818, 106.6864574 10.7918383)"
13468959702,11945627176,1468560038,primary,1.0295374026262352,"LINESTRING (106.6866833 10.7920818, 106.6866917 10.7920776)"
13468959703,411919798,224445489,tertiary_link,44.00135945606717,"LINESTRING (106.6866872 10.7920861, 106.6866725 10.7922068, 106.6865338 10.7924447)"
13468959703,12014594901,1034068186,primary,155.00284946560714,"LINESTRING (106.6866872 10.7920861, 106.686642 10.7921704, 106.6856341 10.7929518, 106.6856043 10.7929751)"
10708583474,9690705590,233001268,primary,8.416826075483458,"LINESTRING (106.70776 10.7802017, 106.70774 10.7801286)"
2392458428,411926355,230796618,service,42.84250500618695,"LINESTRING (106.6814733 10.7804104, 106.6811395 10.7806127)"
