osmid,y,x
11393695758,10.7861099,106.700575
6627521383,10.7768189,106.7226041
5740298577,10.7694268,106.7252918
13513813103,10.7884087,106.6995314
13513813129,10.7870312,106.6982885
13513813132,10.7873842,106.6986084
13513813137,10.7879004,106.6991
366477968,10.758588,106.7190104
6573654683,10.7865552,106.7117435
6573654684,10.7873307,106.7119143
366478047,10.7898263,106.7171979
10708583471,10.7804602,106.707751
10708583472,10.7804377,106.7077281
10708583473,10.7802958,106.7076883
10708583474,10.7802017,106.70776
367527081,10.7914361,106.7061235
12441617620,10.7891329,106.7141788
12441617621,10.7892792,106.7140944
12441617623,10.7914305,106.7183429
12441617624,10.7915638,106.7183462
12441617625,10.7915359,106.7182463
12441617626,10.7915504,106.71807
12441617627,10.7915503,106.7181552
12441617628,10.7918217,106.7180707
5738202401,10.7929415,106.719169
5738202402,10.7929139,106.7190416
5738202403,10.7928625,106.7187734
5738202404,10.7928058,106.7185602
5738202405,10.7927836,106.7183788
5738202406,10.7912987,106.7149392
5738202407,10.7904912,106.7157868
5738202408,10.7903427,106.7156357
11277698367,10.7809336,106.7349572
13042582878,10.7803286,106.7235719
10708583784,10.7794619,106.7060711
4602725870,10.7857148,106.7036153
10978330103,10.7815337,106.6995731
10978330104,10.7809094,106.6990055
2730493477,10.7711821,106.7043435
9580447419,10.7898806,106.7183717
9580447420,10.7898061,106.7183818
9580447421,10.7898378,106.7183664
9580447422,10.7899221,106.7183959
9580447423,10.7900327,106.7184757
9580447424,10.7900828,106.71854
9580447425,10.7900973,106.7186098
11292378969,10.7858176,106.7388921
11292378970,10.7858895,106.7388758
11292378971,10.7859254,106.7388118
11292378972,10.7859359,106.7386888
9704179564,10.7680997,106.7150545
9704179565,10.765901,106.7135913
11140335678,10.7746071,106.7055238
8364623979,10.7862939,106.7279157
8364623980,10.786261,106.7279237
8364623981,10.786232,106.7279305
8364623982,10.786178,106.7279519
8364623983,10.7861266,106.7279559
8364623984,10.7860858,106.7279224
8364623985,10.7860476,106.7278661
8364623986,10.7858605,106.7274772
8364623987,10.7858539,106.7274463
8364623988,10.7858645,106.7274235
8364623989,10.7859277,106.7273833
8364623990,10.7859488,106.727339
8364623991,10.7859461,106.7273122
8364623992,10.785933,106.7272787
8364623993,10.785904,106.727221
8364623994,10.7857419,106.7268804
8364623995,10.7856827,106.7267543
8364623996,10.7856589,106.7266524
2496923790,10.7923494,106.7328522
2496923792,10.7929625,106.7332816
2496923793,10.7925873,106.7330001
11088300263,10.7695911,106.7017573
11088300264,10.7697396,106.7021278
11088300265,10.7696489,106.7019016
2496923901,10.7931537,106.7340588
10716973333,10.7811292,106.7050494
10716973334,10.7811637,106.7050088
10716973335,10.7811666,106.7049911
10716973337,10.7806634,106.7047614
10716973336,10.7811584,106.7049753
10716973343,10.7810596,106.7048907
10716973344,10.781034,106.704869
10262022447,10.7861207,106.7020354
10262022448,10.7858589,106.7023175
9928575388,10.7864853,106.6996557
9928575389,10.7860499,106.7001626
9928575390,10.7864135,106.6995875
9928575391,10.7859683,106.6998425
9928575392,10.7867083,106.6998728
9928575393,10.7869521,106.6996192
5775034869,10.7932312,106.7035978
5775034873,10.7932014,106.7037338
5775034874,10.792909,106.7042034
5775034878,10.7931525,106.7046607
5775034879,10.792804,106.704568
5775034880,10.793109,106.7048098
5775034881,10.7928589,106.704733
5775034882,10.7932491,106.7050716
11953113664,10.7917076,106.7182525
11953113668,10.7912685,106.7183276
10841754222,10.7823434,106.7017559
538184348,10.7875556,106.7149755
9377942189,10.7727822,106.7164788
9377942190,10.7724574,106.7165317
9377942191,10.7738665,106.7164443
9377942192,10.7734729,106.7164332
9377942193,10.7716948,106.7167286
