street_id,period,los_float,period_idx
32575820,period_0_30,1.0,1
32575862,period_0_00,1.72,0
32575862,period_23_30,1.48,47
32575862,period_9_30,1.24,19
32575864,period_0_00,1.96,0
32575864,period_23_30,1.72,47
32575869,period_0_00,1.48,0
32575869,period_23_30,1.96,47
32575935,period_0_30,1.0,1
32575943,period_14_00,1.0,28
32575943,period_14_30,1.0,29
32575943,period_15_00,1.0,30
32575943,period_3_00,1.32,6
32575943,period_3_30,1.0,7
32575943,period_4_00,1.0,8
32575943,period_4_30,1.0,9
32575943,period_5_00,1.0,10
32575943,period_5_30,1.0,11
32575943,period_6_00,1.0,12
32575943,period_6_30,1.0,13
32575943,period_7_00,1.0,14
32575943,period_7_30,1.0,15
32575943,period_8_00,1.0,16
32575944,period_0_00,1.96,0
32575944,period_0_30,1.72,1
32575944,period_10_30,1.48,21
32575944,period_11_00,1.96,22
32575944,period_13_30,1.72,27
32575944,period_14_00,1.0,28
32575944,period_2_30,1.0,5
32575944,period_3_00,1.96,6
32575944,period_3_30,2.2,7
32575944,period_4_30,1.0,9
32575944,period_5_00,1.24,10
32575944,period_7_30,1.0,15
32575966,period_0_00,1.48,0
32575966,period_0_30,1.84,1
32575966,period_11_30,1.72,23
32575966,period_12_00,2.2,24
32575966,period_14_00,1.72,28
32575966,period_1_00,1.8,2
32575966,period_3_00,2.2,6
32575966,period_3_30,2.2,7
32575966,period_4_30,1.6,9
32575966,period_5_00,1.48,10
32575966,period_5_30,1.72,11
32575966,period_6_00,1.24,12
32575966,period_7_00,2.2,14
32575985,period_12_00,1.48,24
32575985,period_1_00,2.2,2
32576099,period_12_30,1.0,25
32576099,period_14_30,1.0,29
32576099,period_7_00,1.0,14
32576112,period_10_00,1.0,20
32576112,period_10_30,1.0,21
32576112,period_11_00,1.0,22
32576112,period_11_30,1.0,23
32576112,period_12_00,1.0,24
32576112,period_12_30,1.0,25
32576112,period_23_30,1.0,47
32576112,period_7_30,1.0,15
32576112,period_8_30,1.0,17
32576112,period_9_00,1.0,18
32576112,period_9_30,1.0,19
32576127,period_0_00,1.67,0
32576127,period_23_30,1.8,47
32576156,period_0_00,1.72,0
32576156,period_23_30,1.48,47
32576202,period_14_00,1.0,28
32576377,period_14_00,1.24,28
32576377,period_14_30,1.24,29
32576377,period_15_00,1.24,30
32576602,period_11_00,1.24,22
32576602,period_1_30,1.0,3
32576690,period_11_00,2.1,22
32576690,period_1_00,1.96,2
32576820,period_0_30,1.32,1
32576820,period_5_00,2.2,10
32576893,period_15_30,1.0,31
32576893,period_2_00,1.0,4
32576893,period_7_30,1.0,15
32577095,period_1_30,1.4,3
32577116,period_10_00,1.0,20
32577116,period_10_30,1.0,21
32577116,period_11_00,1.0,22
32577116,period_11_30,1.3,23
32577116,period_12_00,1.43,24
32577116,period_12_30,1.0,25
32577116,period_13_30,1.24,27
32577116,period_14_00,1.3,28
32577116,period_14_30,1.24,29
32577116,period_15_00,1.24,30
32577116,period_15_30,1.24,31
32577116,period_16_00,1.24,32
32577116,period_23_00,1.0,46
32577116,period_3_00,1.08,6
32577116,period_7_00,1.0,14
32577116,period_8_30,1.0,17
32577116,period_9_00,1.0,18
32577116,period_9_30,1.0,19
32577138,period_10_30,1.24,21
32577138,period_13_30,1.84,27
32577138,period_9_30,1.0,19
32577205,period_4_30,1.0,9
32577210,period_4_30,1.0,9
32577244,period_0_00,1.76,0
32577244,period_23_30,1.69,47
32577256,period_0_00,1.72,0
32577256,period_23_30,1.48,47
32577442,period_0_00,1.0,0
32577442,period_0_30,1.24,1
32577442,period_12_30,1.08,25
32577442,period_15_30,1.0,31
32577442,period_23_30,1.16,47
32577442,period_3_30,1.0,7
32577442,period_4_00,1.06,8
32577442,period_4_30,1.2,9
32577442,period_5_00,1.12,10
32577449,period_0_00,1.72,0
32577449,period_10_00,1.91,20
32577449,period_10_30,1.97,21
32577449,period_11_00,2.0,22
32577449,period_11_30,2.2,23
32577449,period_12_00,1.85,24
32577449,period_13_00,2.2,26
32577449,period_13_30,2.2,27
32577449,period_14_00,2.2,28
32577449,period_14_30,2.2,29
32577449,period_15_00,2.2,30
32577449,period_15_30,2.2,31
32577449,period_1_00,1.93,2
32577449,period_1_30,1.6,3
32577449,period_23_30,1.78,47
32577449,period_3_00,2.2,6
32577449,period_3_30,2.2,7
32577449,period_4_30,1.93,9
32577449,period_5_00,1.72,10
32577449,period_6_00,1.72,12
32577449,period_7_30,2.2,15
32577449,period_8_30,1.96,17
32577449,period_9_30,2.07,19
32577460,period_0_00,1.96,0
32577460,period_0_30,2.08,1
32577460,period_10_00,2.2,20
32577460,period_10_30,1.6,21
32577460,period_11_00,1.72,22
32577460,period_11_30,2.2,23
32577460,period_12_00,2.2,24
32577460,period_13_00,2.2,26
32577460,period_14_00,2.2,28
32577460,period_14_30,2.08,29
32577460,period_1_00,1.58,2
32577460,period_1_30,1.72,3
32577460,period_23_30,1.96,47
32577460,period_2_00,1.96,4
32577460,period_3_00,2.2,6
32577460,period_3_30,1.84,7
32577460,period_4_30,1.72,9
32577460,period_5_00,1.24,10
32577460,period_7_30,1.96,15
32577460,period_8_30,1.96,17
32577460,period_9_30,2.02,19
32577481,period_0_00,1.76,0
32577481,period_23_30,1.72,47
32577483,period_0_00,2.2,0
32577484,period_14_00,2.2,28
32577484,period_23_00,2.2,46
32577484,period_4_00,1.11,8
32577484,period_4_30,2.2,9
32577484,period_6_30,2.2,13
32577484,period_7_00,2.2,14
32577508,period_5_00,1.0,10
32577546,period_10_30,1.96,21
32577546,period_5_00,1.0,10
32577561,period_5_30,1.0,11
32577628,period_10_00,1.24,20
32577628,period_10_30,1.84,21
32577628,period_12_00,1.72,24
32577683,period_0_00,1.7,0
32577683,period_23_30,1.6,47
32577684,period_0_00,1.62,0
32577684,period_13_30,1.48,27
32577684,period_1_30,1.78,3
32577684,period_23_30,1.75,47
32577684,period_7_30,1.84,15
